loan_id,source_row_index,verdict,tier,severity,data_integrity,credit_event,validation_coverage,loan_status,finding_count,finding_groups,rule_ids,primary_reason,all_reasons,checks_passed,checks_failed,checks_not_evaluable
53926762,10,flagged,major,medium,clean,watch,full,repaid,1,repayment_behaviour,F3,"9 payment component(s) across 3 due date(s) paid 30-89 days late (worst: due 2023-08-20, paid 2023-11-17, 89 days)","[F3] 9 payment component(s) across 3 due date(s) paid 30-89 days late (worst: due 2023-08-20, paid 2023-11-17, 89 days)",43,1,6
56689556,11,normal,minor,low,clean,watch,full,repaid,1,repayment_behaviour,F3,"no major issues; minor observation: 5 payment component(s) across 3 due date(s) paid 30-89 days late (worst: due 2023-09-15, paid 2023-10-20, 35 days)","[F3] 5 payment component(s) across 3 due date(s) paid 30-89 days late (worst: due 2023-09-15, paid 2023-10-20, 35 days)",43,1,6
57949284,12,normal,minor,low,clean,watch,full,repaid,1,repayment_behaviour,F3,"no major issues; minor observation: 3 payment component(s) across 1 due date(s) paid 30-89 days late (worst: due 2022-12-15, paid 2023-01-19, 35 days)","[F3] 3 payment component(s) across 1 due date(s) paid 30-89 days late (worst: due 2022-12-15, paid 2023-01-19, 35 days)",43,1,6
58271697,13,flagged,major,medium,defect,none,full,repaid,3,record_consistency,B1;B3;C2,"diary principal EUR 358.78 (scheduled EUR 241.29 + settlements EUR 117.49) falls short of Loan amount EUR 367.00 by EUR 8.22; summary principal split (repaid + outstanding) also reports EUR 367.00, so EUR 8.22 is not traceable to any diary row","[B1] diary principal EUR 358.78 (scheduled EUR 241.29 + settlements EUR 117.49) falls short of Loan amount EUR 367.00 by EUR 8.22; summary principal split (repaid + outstanding) also reports EUR 367.00, so EUR 8.22 is not traceable to any diary row | [B3] diary shows EUR 358.78 principal paid but summary Repaid principal is EUR 367.00 (gap EUR -8.22) | [C2] stated rate 21% versus realised -3.0% XIRR - review only, not a confirmed rate defect (diary shows EUR 0.14 interest actually paid); review against early-settlement/deferred-annuity terms; principal shortfall EUR 8.22 is linked to B1",42,3,5
61752881,14,flagged,major,high,clean,default,full,repaid,4,record_consistency;repayment_behaviour,C1;F1;F3;G6,"13 payment component(s) across 5 due date(s) paid 90+ days late; worst: due 2023-11-25, paid 2024-07-10 (228 days after scheduled date)","[C1] 6 of 8 interest instalments do not match balance x 22% / 12 (e.g. due 2024-06-05: row EUR 5.33, expected EUR 8.0) | [F1] 13 payment component(s) across 5 due date(s) paid 90+ days late; worst: due 2023-11-25, paid 2024-07-10 (228 days after scheduled date) | [F3] 2 payment component(s) across 1 due date(s) paid 30-89 days late (worst: due 2024-06-05, paid 2024-07-10, 35 days) | [G6] 21 of 23 instalments paid more than 5 days late (median 107 d, worst 228 d, trend +59.3 d, worsening) - chronic lateness escalating to default",40,4,6
65318525,15,flagged,major,high,defect,default,partial,repaid,5,record_consistency;repayment_behaviour,B1;B3;E4;F1;G6,"29 payment component(s) across 10 due date(s) paid 90+ days late; worst: due 2022-10-15, paid 2023-06-09 (237 days after scheduled date)","[B1] diary principal EUR 1,185.47 (scheduled EUR 1,185.47 + settlements EUR 0.00) falls short of Loan amount EUR 5,850.00 by EUR 4,664.53; early-repayment and settlement rows are already counted, so the difference is unexplained | [B3] diary shows EUR 1,185.47 principal paid but summary Repaid principal is EUR 5,850.00 (gap EUR -4,664.53) | [E4] 1 row(s) marked 'paid with delay' with no repayment date (e.g. overdue interest due 2023-04-26, EUR 0.34) | [F1] 29 payment component(s) across 10 due date(s) paid 90+ days late; worst: due 2022-10-15, paid 2023-06-09 (237 days after scheduled date) | [G6] 29 of 32 instalments paid more than 5 days late (median 166 d, worst 237 d, trend +74.8 d, worsening) - chronic lateness escalating to default",38,5,7
73224837,16,flagged,major,medium,clean,watch,full,repaid,2,repayment_behaviour,F3;G6,"6 payment component(s) across 2 due date(s) paid 30-89 days late (worst: due 2024-01-12, paid 2024-03-14, 62 days)","[F3] 6 payment component(s) across 2 due date(s) paid 30-89 days late (worst: due 2024-01-12, paid 2024-03-14, 62 days) | [G6] 18 of 36 instalments paid more than 5 days late (median 8 d, worst 62 d, trend +18 d, worsening) - chronically late, occasionally beyond 30 days",42,2,6
73371141,17,normal,clean,,clean,none,full,repaid,0,,,no anomalies detected,,45,0,5
76669736,18,flagged,major,medium,defect,none,full,repaid,3,record_consistency,B1;B3;C2,"diary principal EUR 306.24 (scheduled EUR 52.01 + settlements EUR 254.23) falls short of Loan amount EUR 329.00 by EUR 22.76; summary principal split (repaid + outstanding) also reports EUR 329.00, so EUR 22.76 is not traceable to any diary row","[B1] diary principal EUR 306.24 (scheduled EUR 52.01 + settlements EUR 254.23) falls short of Loan amount EUR 329.00 by EUR 22.76; summary principal split (repaid + outstanding) also reports EUR 329.00, so EUR 22.76 is not traceable to any diary row | [B3] diary shows EUR 306.24 principal paid but summary Repaid principal is EUR 329.00 (gap EUR -22.76) | [C2] stated rate 18% versus realised -12.7% XIRR - review only, not a confirmed rate defect (diary shows EUR 12.64 interest actually paid); principal shortfall EUR 22.76 is linked to B1",41,3,6
78579969,19,normal,minor,low,clean,watch,full,repaid,3,record_consistency;repayment_behaviour,H10;F3;G6,"no major issues; minor observation: 4 payment component(s) across 2 due date(s) paid 30-89 days late (worst: due 2023-05-25, paid 2023-07-17, 53 days)","[H10] employment and income fields merit contextual review | [F3] 4 payment component(s) across 2 due date(s) paid 30-89 days late (worst: due 2023-05-25, paid 2023-07-17, 53 days) | [G6] 18 of 36 instalments paid more than 5 days late (median 6 d, worst 53 d, trend +19.2 d, worsening) - chronically late, occasionally beyond 30 days",41,3,6
79811839,20,flagged,major,high,defect,default,full,repaid,7,record_consistency;repayment_behaviour,C1;C2;C6;E1;F1;F3;G6,"33 payment component(s) across 12 due date(s) paid 90+ days late; worst: due 2022-09-15, paid 2024-05-20 (613 days after scheduled date)","[C1] 11 of 15 interest instalments do not match balance x 21% / 12 (e.g. due 2023-06-05: row EUR 24.53, expected EUR 17.4) | [C2] stated rate 21% versus realised 10.4% XIRR - inconsistent with the stated rate (diary shows EUR 274.89 interest actually paid); on-schedule receipt timing brings the rate within tolerance | [C6] 1 paid row(s) still show a pending amount | [E1] loan is marked 'repaid' but 1 payment component(s) across 1 due date(s) with EUR 55.75 still unpaid in the diary | [F1] 33 payment component(s) across 12 due date(s) paid 90+ days late; worst: due 2022-09-15, paid 2024-05-20 (613 days after scheduled date) | [F3] 3 payment component(s) across 2 due date(s) paid 30-89 days late (worst: due 2022-07-15, paid 2022-10-12, 89 days) | [G6] 39 of 44 instalments paid more than 5 days late (median 375 d, worst 613 d, trend +413.3 d, worsening) - chronic lateness escalating to default",37,7,6
96579687,21,flagged,major,high,clean,default,full,repaid,3,repayment_behaviour,F1;F3;G6,"15 payment component(s) across 5 due date(s) paid 90+ days late; worst: due 2023-05-20, paid 2024-03-17 (302 days after scheduled date)","[F1] 15 payment component(s) across 5 due date(s) paid 90+ days late; worst: due 2023-05-20, paid 2024-03-17 (302 days after scheduled date) | [F3] 2 payment component(s) across 1 due date(s) paid 30-89 days late (worst: due 2024-02-13, paid 2024-03-17, 33 days) | [G6] 26 of 44 instalments paid more than 5 days late (median 20 d, worst 302 d, trend +159.8 d, worsening) - chronic lateness escalating to default",41,3,6
58153155,22,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,40,0,10
32271989,23,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,43,0,7
13891862,24,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,46,0,4
41531189,25,normal,minor,low,clean,none,full,repaid,1,record_consistency,C10,"no major issues; minor observation: 1 due-date slot(s) hold more than one row of the same payment type with different values (e.g. contract fee repayment due 2025-01-15: 2 rows, EUR 2.07 / EUR 2.65, differing in amount, actual_date)","[C10] 1 due-date slot(s) hold more than one row of the same payment type with different values (e.g. contract fee repayment due 2025-01-15: 2 rows, EUR 2.07 / EUR 2.65, differing in amount, actual_date)",45,1,4
35449965,26,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,46,0,4
97751227,27,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,46,0,4
62778129,28,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,41,0,9
14146974,29,normal,minor,low,clean,none,full,repaid,1,record_consistency,C2,"no major issues; minor observation: stated rate 25% versus realised 0.0% XIRR - review only, not a confirmed rate defect (diary shows EUR 0.00 interest actually paid); review against early-settlement/deferred-annuity terms","[C2] stated rate 25% versus realised 0.0% XIRR - review only, not a confirmed rate defect (diary shows EUR 0.00 interest actually paid); review against early-settlement/deferred-annuity terms",44,1,5
74364775,30,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,43,0,7
94976997,31,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,44,0,6
26961823,32,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,44,0,6
94273288,33,normal,minor,low,clean,none,full,repaid,1,record_consistency,A6,"no major issues; minor observation: categorical fields contain missing, unknown or untranslated values","[A6] categorical fields contain missing, unknown or untranslated values",40,1,9
57496522,34,normal,clean,,clean,none,full,repaid,0,,,no anomalies detected,,45,0,5
79362712,35,normal,clean,,clean,none,full,repaid,0,,,no anomalies detected,,45,0,5
82251944,36,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,44,0,6
56721442,37,normal,indeterminate,,unknown,none,partial,granted,1,record_consistency,A8,"payment diary truncated at 32767 characters (Excel cell limit); 198 complete records salvaged, sum-based checks not evaluated","[A8] payment diary truncated at 32767 characters (Excel cell limit); 198 complete records salvaged, sum-based checks not evaluated",35,1,14
57248583,38,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,44,0,6
97987259,39,normal,minor,low,clean,none,full,granted,1,record_consistency,A6,"no major issues; minor observation: categorical fields contain missing, unknown or untranslated values","[A6] categorical fields contain missing, unknown or untranslated values",42,1,7
68531246,40,normal,minor,low,clean,none,full,granted,1,record_consistency,A6,"no major issues; minor observation: categorical fields contain missing, unknown or untranslated values","[A6] categorical fields contain missing, unknown or untranslated values",40,1,9
96227257,41,normal,clean,,clean,none,full,repaid,0,,,no anomalies detected,,40,0,10
56595445,42,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,40,0,10
51117775,43,normal,indeterminate,,unknown,none,partial,granted,1,record_consistency,A8,"payment diary truncated at 32767 characters (Excel cell limit); 200 complete records salvaged, sum-based checks not evaluated","[A8] payment diary truncated at 32767 characters (Excel cell limit); 200 complete records salvaged, sum-based checks not evaluated",34,1,15
86642894,44,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,46,0,4
72457171,45,normal,indeterminate,,unknown,none,partial,granted,1,record_consistency,A8,"payment diary truncated at 32767 characters (Excel cell limit); 197 complete records salvaged, sum-based checks not evaluated","[A8] payment diary truncated at 32767 characters (Excel cell limit); 197 complete records salvaged, sum-based checks not evaluated",36,1,13
87152791,46,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,45,0,5
35612451,47,normal,indeterminate,,unknown,none,partial,granted,1,record_consistency,A8,"payment diary truncated at 32767 characters (Excel cell limit); 195 complete records salvaged, sum-based checks not evaluated","[A8] payment diary truncated at 32767 characters (Excel cell limit); 195 complete records salvaged, sum-based checks not evaluated",36,1,13
35666371,48,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,42,0,8
82522951,49,normal,minor,low,clean,none,full,repaid,1,record_consistency,A6,"no major issues; minor observation: categorical fields contain missing, unknown or untranslated values","[A6] categorical fields contain missing, unknown or untranslated values",41,1,8
83898441,50,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,44,0,6
64933882,51,normal,indeterminate,,unknown,none,partial,granted,1,record_consistency,A8,"payment diary truncated at 32767 characters (Excel cell limit); 199 complete records salvaged, sum-based checks not evaluated","[A8] payment diary truncated at 32767 characters (Excel cell limit); 199 complete records salvaged, sum-based checks not evaluated",35,1,14
13314659,52,normal,indeterminate,,unknown,none,partial,granted,1,record_consistency,A8,"payment diary truncated at 32767 characters (Excel cell limit); 200 complete records salvaged, sum-based checks not evaluated","[A8] payment diary truncated at 32767 characters (Excel cell limit); 200 complete records salvaged, sum-based checks not evaluated",35,1,14
69683127,53,normal,indeterminate,,unknown,none,partial,granted,1,record_consistency,A8,"payment diary truncated at 32767 characters (Excel cell limit); 200 complete records salvaged, sum-based checks not evaluated","[A8] payment diary truncated at 32767 characters (Excel cell limit); 200 complete records salvaged, sum-based checks not evaluated",35,1,14
41222884,54,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,45,0,5
53788773,55,normal,minor,low,clean,none,full,granted,1,record_consistency,D8,"no major issues; minor observation: 2 row(s) labelled 'paid on time' but paid more than 5 days after due (worst: due 2024-06-19, paid 2024-06-25, 6 days)","[D8] 2 row(s) labelled 'paid on time' but paid more than 5 days after due (worst: due 2024-06-19, paid 2024-06-25, 6 days)",42,1,7
33817222,56,normal,indeterminate,,unknown,none,partial,granted,1,record_consistency,A8,"payment diary truncated at 32767 characters (Excel cell limit); 198 complete records salvaged, sum-based checks not evaluated","[A8] payment diary truncated at 32767 characters (Excel cell limit); 198 complete records salvaged, sum-based checks not evaluated",35,1,14
43365273,57,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,46,0,4
28133318,58,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,43,0,7
59768427,59,normal,clean,,clean,none,full,repaid,0,,,no anomalies detected,,45,0,5
66526158,60,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,43,0,7
71317797,61,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,44,0,6
43986823,62,normal,indeterminate,,unknown,none,partial,granted,1,record_consistency,A8,"payment diary truncated at 32767 characters (Excel cell limit); 198 complete records salvaged, sum-based checks not evaluated","[A8] payment diary truncated at 32767 characters (Excel cell limit); 198 complete records salvaged, sum-based checks not evaluated",34,1,15
25372336,63,normal,indeterminate,,unknown,none,partial,granted,1,record_consistency,A8,"payment diary truncated at 32767 characters (Excel cell limit); 197 complete records salvaged, sum-based checks not evaluated","[A8] payment diary truncated at 32767 characters (Excel cell limit); 197 complete records salvaged, sum-based checks not evaluated",37,1,12
34699374,64,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,46,0,4
94146169,65,normal,indeterminate,,unknown,none,partial,granted,1,record_consistency,A8,"payment diary truncated at 32767 characters (Excel cell limit); 197 complete records salvaged, sum-based checks not evaluated","[A8] payment diary truncated at 32767 characters (Excel cell limit); 197 complete records salvaged, sum-based checks not evaluated",37,1,12
32742879,66,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,43,0,7
26165342,67,normal,indeterminate,,unknown,none,partial,granted,1,record_consistency,A8,"payment diary truncated at 32767 characters (Excel cell limit); 194 complete records salvaged, sum-based checks not evaluated","[A8] payment diary truncated at 32767 characters (Excel cell limit); 194 complete records salvaged, sum-based checks not evaluated",36,1,13
95814762,68,normal,indeterminate,,unknown,none,partial,granted,1,record_consistency,A8,"payment diary truncated at 32767 characters (Excel cell limit); 198 complete records salvaged, sum-based checks not evaluated","[A8] payment diary truncated at 32767 characters (Excel cell limit); 198 complete records salvaged, sum-based checks not evaluated",36,1,13
51247328,69,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,44,0,6
13616691,70,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,41,0,9
29492418,71,normal,clean,,clean,none,full,granted,0,,,no anomalies detected,,46,0,4
